㋿ ㄌㄧㄥˋ-ㄏㄜˊ
㍼ ㄓㄠ-ㄏㄜˊ
㍽ ㄉㄚˋ-ㄓㄥˋ
㍾ ㄇㄧㄥˊ-ㄓˋ
㍻ ㄆㄧㄥˊ-ㄔㄥˊ
㍿ ㄓㄨ-ㄕˋ-ㄏㄨㄟˋ-ㄕㄜˋ
㍿ ㄓㄨ-ㄕˋ-ㄎㄨㄞˋ-ㄕㄜˋ
㍿ ㄍㄨˇ-ㄈㄣˋ-ㄍㄨㄥ-ㄙ
㍿ ㄍㄨˇ-ㄈㄣˋ-ㄧㄡˇ-ㄒㄧㄢˋ-ㄍㄨㄥ-ㄙ
㈱ ㄓㄨ
㈱ ㄓㄨ-ㄕˋ-ㄏㄨㄟˋ-ㄕㄜˋ
㈱ ㄓㄨ-ㄕˋ-ㄎㄨㄞˋ-ㄕㄜˋ
㈱ ㄍㄨˇ-ㄈㄣˋ-ㄍㄨㄥ-ㄙ
㈱ ㄍㄨˇ-ㄈㄣˋ-ㄧㄡˇ-ㄒㄧㄢˋ-ㄍㄨㄥ-ㄙ
々 ㄔㄨㄥˊ-ㄈㄨˋ
々 ㄉㄧㄝˊ-ㄗˋ
℃ ㄕㄜˋ-ㄕˋ
℉ ㄏㄨㄚˊ-ㄕˋ
© ㄅㄢˇ-ㄑㄩㄢˊ
® ㄓㄨˋ-ㄘㄜˋ
≠ ㄅㄨˋ-ㄉㄥˇ-ㄩˊ
∞ ㄨˊ-ㄒㄧㄢˋ
∫ ㄐㄧ-ㄈㄣ
∴ ㄙㄨㄛˇ-ㄧˇ
∵ ㄧㄣ-ㄨㄟˋ
≤ ㄒㄧㄠˇ-ㄩˊ-ㄉㄥˇ-ㄩˊ
≥ ㄉㄚˋ-ㄩˊ-ㄉㄥˇ-ㄩˊ
⌬ ㄅㄣˇ-ㄏㄨㄢˊ
▲ ㄙㄢ-ㄐㄧㄠˇ
▼ ㄉㄠˋ-ㄙㄢ-ㄐㄧㄠˇ
☁ ㄩㄣˊ
☂ ㄩˇ-ㄙㄢˇ
☃ ㄒㄩㄝˇ-ㄖㄣˊ
★ ㄒㄧㄥ
☜ ㄗㄨㄛˇ
☝︎ ㄕㄤˋ
☞ ㄧㄡˋ
☟ ㄒㄧㄚˋ
☠ ㄧㄡˇ-ㄉㄨˊ
☢ ㄈㄨˊ-ㄕㄜˋ-ㄒㄧㄥˋ
☣ ㄕㄥ-ㄨˋ-ㄒㄧㄥˋ
☮ ㄏㄜˊ-ㄆㄧㄥˊ
☯ ㄧㄣ-ㄧㄤˊ
♀ ㄋㄩˇ-ㄒㄧㄥˋ
♂ ㄋㄢˊ-ㄒㄧㄥˋ
♈ ㄇㄨˇ-ㄧㄤˊ
♉ ㄐㄧㄣ-ㄋㄧㄡˊ
♊ ㄕㄨㄤ-ㄗˇ
♋ ㄐㄩˋ-ㄒㄧㄝˋ
♌ ㄕ-ㄗ˙
♍ ㄔㄨˋ-ㄋㄩˇ
♎ ㄊㄧㄢ-ㄔㄥˋ
♏ ㄊㄧㄢ-ㄒㄧㄝ
♐ ㄕㄜˋ-ㄕㄡˇ
♑ ㄇㄛˊ-ㄐㄧㄝˊ
♒ ㄕㄨㄟˇ-ㄆㄧㄥˊ
♓ ㄕㄨㄤ-ㄩˊ
♔ ㄍㄨㄛˊ-ㄨㄤˊ
♕ ㄏㄨㄤˊ-ㄏㄡˋ
♖ ㄔㄥˊ-ㄅㄠˇ
♗ ㄓㄨˇ-ㄐㄧㄠˋ
♘ ㄑㄧˊ-ㄕˋ
