ㄅㄚ	bā	ba1
ㄅㄚˊ	bá	ba2
ㄅㄚˇ	bǎ	ba3
ㄅㄚˋ	bà	ba4
ㄅㄚ˙	ba	ba5
ㄅㄛ	bō	bo1
ㄅㄛˊ	bó	bo2
ㄅㄛˇ	bǒ	bo3
ㄅㄛˋ	bò	bo4
ㄅㄛ˙	bo	bo5
ㄅㄞ	bāi	bai1
ㄅㄞˊ	bái	bai2
ㄅㄞˇ	bǎi	bai3
ㄅㄞˋ	bài	bai4
ㄅㄞ˙	bai	bai5
ㄅㄟ	bēi	bei1
ㄅㄟˇ	běi	bei3
ㄅㄟˋ	bèi	bei4
ㄅㄟ˙	bei	bei5
ㄅㄠ	bāo	bao1
ㄅㄠˊ	báo	bao2
ㄅㄠˇ	bǎo	bao3
ㄅㄠˋ	bào	bao4
ㄅㄢ	bān	ban1
ㄅㄢˇ	bǎn	ban3
ㄅㄢˋ	bàn	ban4
ㄅㄣ	bēn	ben1
ㄅㄣˇ	běn	ben3
ㄅㄣˋ	bèn	ben4
ㄅㄤ	bāng	bang1
ㄅㄤˇ	bǎng	bang3
ㄅㄤˋ	bàng	bang4
ㄅㄥ	bēng	beng1
ㄅㄥˊ	béng	beng2
ㄅㄥˇ	běng	beng3
ㄅㄥˋ	bèng	beng4
ㄅㄧ	bī	bi1
ㄅㄧˊ	bí	bi2
ㄅㄧˇ	bǐ	bi3
ㄅㄧˋ	bì	bi4
ㄅㄧㄝ	biē	bie1
ㄅㄧㄝˊ	bié	bie2
ㄅㄧㄝˇ	biě	bie3
ㄅㄧㄝˋ	biè	bie4
ㄅㄧㄠ	biāo	biao1
ㄅㄧㄠˇ	biǎo	biao3
ㄅㄧㄠˋ	biào	biao4
ㄅㄧㄢ	biān	bian1
ㄅㄧㄢˊ	bián	bian2
ㄅㄧㄢˇ	biǎn	bian3
ㄅㄧㄢˋ	biàn	bian4
ㄅㄧㄣ	bīn	bin1
ㄅㄧㄣˇ	bǐn	bin3
ㄅㄧㄣˋ	bìn	bin4
ㄅㄧㄥ	bīng	bing1
ㄅㄧㄥˇ	bǐng	bing3
ㄅㄧㄥˋ	bìng	bing4
ㄅㄨ	bū	bu1
ㄅㄨˊ	bú	bu2
ㄅㄨˇ	bǔ	bu3
ㄅㄨˋ	bù	bu4
ㄆㄚ	pā	pa1
ㄆㄚˊ	pá	pa2
ㄆㄚˇ	pǎ	pa3
ㄆㄚˋ	pà	pa4
ㄆㄚ˙	pa	pa5
ㄆㄛ	pō	po1
ㄆㄛˊ	pó	po2
ㄆㄛˇ	pǒ	po3
ㄆㄛˋ	pò	po4
ㄆㄞ	pāi	pai1
ㄆㄞˊ	pái	pai2
ㄆㄞˇ	pǎi	pai3
ㄆㄞˋ	pài	pai4
ㄆㄟ	pēi	pei1
ㄆㄟˊ	péi	pei2
ㄆㄟˇ	pěi	pei3
ㄆㄟˋ	pèi	pei4
ㄆㄠ	pāo	pao1
ㄆㄠˊ	páo	pao2
