台	臺 檯 颱 台
蒙	蒙 矇 濛 懞
只	只 隻 祇
向	向 嚮 曏
周	周 週 賙
复	復 複 覆
干	幹 乾 干
毁	毀 燬 譭
泛	泛 氾 汎
系	系 係 繫
胡	胡 鬍 衚
苏	蘇 甦 囌
采	採 采 寀
钟	鍾 鐘 鈡
㐹	㑶 㐹
万	萬 万
丑	醜 丑
个	個 箇
丰	豐 丰
了	了 瞭
于	於 于
云	雲 云
亘	亙 亘
仆	僕 仆
仇	仇 讎
仑	侖 崙
价	價 价
仿	仿 彷
伙	夥 伙
余	餘 余
佛	佛 彿
佣	傭 佣
俊	俊 儁
修	修 脩
借	借 藉
僵	僵 殭
克	克 剋
党	黨 党
冬	冬 鼕
冲	衝 沖
凄	悽 淒
准	準 准
凌	凌 淩
几	幾 几
凶	兇 凶
出	出 齣
划	劃 划
别	別 彆
刮	刮 颳
制	制 製
勋	勳 勛
千	千 韆
升	升 昇
卜	卜 蔔
占	佔 占
卤	滷 鹵
卷	卷 捲
厂	廠 厂
历	歷 曆
厘	釐 厘
参	參 蔘
发	發 髮
叶	葉 叶
叹	嘆 歎
吁	籲 吁
吃	喫 吃
合	合 閤
吊	吊 弔
同	同 衕
后	後 后
咨	諮 咨
咸	鹹 咸
咽	咽 嚥
哄	哄 鬨
哗	譁 嘩
唇	脣 唇
啮	齧 嚙
喂	喂 餵
噪	噪 譟
回	回 迴
团	團 糰
困	困 睏
坛	壇 罈
埙	壎 塤
夫	夫 伕
夸	誇 夸
奸	奸 姦
姜	姜 薑
娘	娘 孃
娴	嫺 嫻
宁	寧 甯
它	它 牠
家	家 傢
尝	嘗 嚐
尸	屍 尸
尽	盡 儘
局	局 侷
岩	巖 岩
岳	嶽 岳
巨	巨 鉅
布	布 佈
帘	簾 帘
席	席 蓆
并	並 併
幸	幸 倖
广	廣 广
庵	庵 菴
弥	彌 瀰
弦	弦 絃
当	當 噹
录	錄 彔
彩	彩 綵
征	徵 征
御	御 禦
志	志 誌
念	念 唸
恤	恤 卹
恶	惡 噁
愈	愈 癒
愿	願 愿
戚	戚 慼
才	才 纔
扎	扎 紮
托	託 托
扣	扣 釦
折	折 摺
抵	抵 牴
拐	拐 柺
挂	掛 挂
挨	挨 捱
挽	挽 輓
据	據 据
搜	搜 蒐
摆	擺 襬
斗	鬥 斗
旋	旋 鏇
昆	昆 崑
暗	暗 闇
曲	曲 麴
术	術 朮
朱	朱 硃
朴	樸 朴
杆	杆 桿
杠	槓 杠
杯	杯 盃
杰	傑 杰
松	松 鬆
板	板 闆
极	極 极
柜	櫃 柜
栗	慄 栗
核	核 覈
梁	梁 樑
欲	欲 慾
汇	匯 彙
沈	沈 瀋
沾	沾 霑
注	注 註
涂	塗 涂
涌	湧 涌
淀	澱 淀
游	遊 游
滟	灩 灧
漓	漓 灕
炼	煉 鍊
烟	煙 菸
熏	燻 熏
玩	玩 翫
璇	璇 璿
症	症 癥
皂	皁 皂
矩	矩 榘
确	確 确
私	私 俬
秋	秋 鞦
种	種 种
筑	築 筑
签	籤 簽
纤	纖 縴
绱	鞝 緔
绷	繃 綳
胄	胄 冑
背	背 揹
胜	勝 胜
脏	髒 臟
腊	臘 腊
腌	醃 腌
膻	羶 膻
致	致 緻
舍	舍 捨
艳	豔 艷
芸	芸 蕓
苔	苔 薹
苹	蘋 苹
范	範 范
荐	薦 荐
荡	蕩 盪
荫	蔭 廕
药	藥 葯
获	獲 穫
蔑	蔑 衊
虫	蟲 虫
蚝	蠔 蚝
蜡	蠟 蜡
蝎	蠍 蝎
表	表 錶
袅	嫋 裊
裥	襉 襇
证	證 証
谥	諡 謚
谷	谷 穀
赝	贗 贋
赞	贊 讚
跖	蹠 跖
辟	闢 辟
迹	跡 蹟
适	適 适
郁	鬱 郁
酸	酸 痠
里	裏 里
鉴	鑑 鑒
针	針 鍼
钥	鑰 鈅
钫	鈁 鍅
钻	鑽 鉆
铲	鏟 剷
链	鏈 鍊
锫	錇 鉳
镋	钂 鎲
镎	鎿 錼
镢	钁 鐝
镰	鐮 鎌
闲	閒 閑
雕	雕 鵰
面	面 麪
须	須 鬚
饥	飢 饑
鹇	鷳 鷴
